"KOC","Tuyen","Creative","SoBan","Spend","Mua","CPA","CTR","Ids"
"Nguyễn Đức Toàn","Thông minh xứng đáng","""cứu tinh dân văn phòng"" Nguyễn Đức Toàn nói gì","2","3278852","259","12660","0.51","120242828171560232; 120242828171590232"
"Nguyễn Hoàng Anh","Tour du lịch thư giãn 45 phút",""" Lần Đầu "" tại 30 Shine lunn","4","30547139","1366","22362","2.49","120242655812950232; 120246185782640232; 120246027320930232; 120246185987620232"
"Phạm Hoàng Nghĩa","Thông minh xứng đáng","Khách hàng nói gì sau khi quay lại","2","63872164","4779","13365","0.78","120242134941620232; 120242134491770232"
"Phạm Hoàng Nghĩa","Tour du lịch thư giãn 45 phút","Sau 2 năm quay lại 30shine mọi thứ đều được nâng cấp","5","49226719","1765","27890","2.65","120242655812990232; 120246185782420232; 120246027320900232; 120246186014200232; 120246185987630232"
"Sang Nguyễn","Tóc đẹp đi làm","bữa trước cắt tóc bên 30Shine thấy đã quá mà chưa kịp thử hết dịch vụ nay quay lại uốn nhẹ với làm ráy tai luôn","7","26938784","774","34805","1.66","120246187477660232; 120245527920940232; 120246076935540232; 120244731812250232; 120245524118020232; 120244768214590232; 120246027266780232"
"Sang Nguyễn","Tan làm","122k cho một lần “reset giao diện” trước","6","12313738","608","20253","1.39","120245527920900232; 120245524117940232; 120246076935580232; 120244768214540232; 120244731812370232; 120246027266840232"
"Sang Nguyễn","Tóc đẹp đi làm","Chỉ từ 122 cành làm quả combo ở 30Shine để F5","1","34362","1","34362","0.21","120247223160340232"
"Sang Nguyễn","Tóc đẹp đi làm","Bữa trước ghé 30Shine cắt tóc ưng bụng quá mà chưa kịp test thử mấy dịch vụ khác","1","36311","1","36311","0.55","120247223692320232"
"Sang Nguyễn","Tóc đẹp đi làm","Lần trước mới cắt ở 30Shine thôi đã thấy ""dính"" rồi","1","67794","0","0","0.15","120247223692270232"
"Sang Nguyễn","Tóc đẹp đi làm","trải nghiệm combo 30Shine để nâng cấp ngoại hình đi ăn cưới","1","27078","0","0","0.06","120247223692300232"
"Sang Nguyễn","Tóc đẹp đi làm","Ghiền 30Shine từ đợt cắt tóc hôm trước nên nay phải quay lại phục thù","1","82616","0","0","0.5","120247223160280232"
"Sang Nguyễn","Tóc đẹp đi làm","Trải nghiệm combo 30Shine chỉ từ 122k","1","34735","0","0","0.09","120247223692260232"
"Sơn Nguyễn","Tóc đẹp đi làm","Đến 30Shine cắt tóc mát mẻ thì công việc mới suôn sẻ","6","9735121","973","10005","0.55","120244731812360232; 120246187477630232; 120245527920860232; 120245524117980232; 120246076935620232; 120246027266870232"
"Sơn Nguyễn","Tóc đẹp đi làm","Anh em chơi thể thao","7","3397784","118","28795","0.3","120246187477620232; 120244768214600232; 120244731812260232; 120245527920920232; 120245524118000232; 120246076935570232; 120246027266820232"
"Thái Bảo","Tour du lịch thư giãn 45 phút","[MC THÁI BẢO REVIEW] Trải nghiệm làm đẹp tại 30Shine","6","48792823","1977","24680","2.43","120242655812980232; 120246185782610232; 120244768214560232; 120246027320880232; 120246186014110232; 120246185987600232"
"Trần Đức Sỹ","Tour du lịch thư giãn 45 phút","Anh em mùa hè có thể thiếu người yêu","1","372302","6","62050","0.75","120247226150560232"
"Trần Đức Sỹ","Tour du lịch thư giãn 45 phút","Trời nóng tới mức tóc dài thêm 1cm cũng thấy khó chịu","1","76262","2","38131","0.08","120247226150430232"
"Trần Đức Sỹ","Nghỉ trưa","Hè đến rồi, việc đầu tiên cần làm không phải đi du lịch","1","628","0","0","0.98","120247228362830232"
"Trung Hiếu Review","Tour du lịch thư giãn 45 phút","Các vợ ơi, chồng vừa trải nghiệm một ""tour du lịch thư giãn"" kéo dài 45 phút","1","152757","4","38189","0.25","120247226150470232"
"Trung Hiếu Review","Tour du lịch thư giãn 45 phút","Ai bảo muốn thư giãn phải đi spa","1","75640","1","75640","0.19","120247226150510232"
"Trung Hiếu Review","Tour du lịch thư giãn 45 phút","45 phút để reset bản thân có đáng không","1","62210","0","0","0.12","120247226150440232"
"Trung Tín","Thông minh xứng đáng","Khách hàng Trung Tín quay lại 30Shine","2","5760966","262","21988","1.78","120243427651150232; 120243427957400232"
"Trung Tín","Tour du lịch thư giãn 45 phút","Mỗi lần tới 30shine như đi nghĩ dưỡng vậy đó","5","1588553","68","23361","0.4","120246185782470232; 120242655812970232; 120246027320910232; 120246185987670232; 120246186014140232"
"Trương Minh Khoa","Tan làm","Tan làm sớm một hôm","5","6083279","339","17945","0.28","120246187099600232; 120243427787320232; 120243427924050232; 120246077113440232; 120246187279850232"
"Tùng Chiu Chiu","Tóc đẹp đi làm","Người khác có thể chưa thích hay tôn trọng bạn ngay lập tức","2","2385635","202","11810","0.52","120244767802440232; 120244768214550232"
"Tùng Chiu Chiu","Tóc đẹp đi làm","Tình yêu và sự nghiệp? Hãy chọn sự nghiệp trước tiên","2","1845143","105","17573","0.7","120244768214520232; 120244767802450232"
"Tùng Chiu Chiu","Tóc đẹp đi làm","Chưa cần ai tung hô, chỉ cần bạn biết yêu thương và trân trọng người trong gương là đủ","1","48075","2","24038","0.11","120247223692310232"
"Tùng Chiu Chiu","Tóc đẹp đi làm","Sự công nhận của người đời có thể đến muộn, nhưng sự tự tôn của chính bạn thì không thể chần chừ","1","57368","1","57368","0.4","120247223160360232"
"Tùng Chiu Chiu","Tóc đẹp đi làm","Thế giới ngoài kia có thể chưa hiểu bạn","1","52961","0","0","0.11","120247223692370232"
"Tường Phát","Tour du lịch thư giãn 45 phút","💬 Là KOC nên Tường Phát luôn chú trọng chăm sóc bản thân.","8","18808428","647","29070","1.82","120243427787400232; 120243427924080232; 120246185782520232; 120242655812960232; 120246077113480232; 120246027320920232; 120246185987580232; 120246186014170232"
"Tường Phát","Tan làm","Là KOC nên Tường Phát luôn chú trọng","3","16784428","380","44170","0.73","120246187099610232; 120246027303950232; 120246187279860232"
"Tường Phát","Tóc đẹp đi làm","Cut tóc đón hè","5","11192871","268","41764","1.19","120246187352000232; 120246026866860232; 120246076935550232; 120246026998450232; 120246027266760232"
"Tường Phát","Tóc đẹp đi làm","Các con vợ ơi, mùa hè đến rồi","1","297782","8","37223","0.53","120247223692290232"
"Tường Phát","Tóc đẹp đi làm","Cắt tóc đón hè đây các con vợ ơi","1","34283","2","17142","0.06","120247223160320232"
"Tường Phát","Tóc đẹp đi làm","Các con vợ ơi, hè đến rồi. Chồng không chống nắng","1","65313","1","65313","0.06","120247223692360232"
"Vũ Việt Anh","Tour du lịch thư giãn 45 phút","Anh em bận rộn ghé ngay 30Shine cùng Vũ Việt Anh","2","75493729","3261","23150","2.96","120242655405560232; 120246077020740232"
